Variant: 5
Itr|    z(0)|    y(0)|               Delta
  0.49375|  1.77348|  1.77358|  1.04198|  9.69751234783e-05|
  0.50000|  1.77987|  1.77996|  1.00000|  9.70007615930e-05|
  0.50625|  1.78598|  1.78608|  0.95801|  9.70264762523e-05|
  0.51250|  1.79184|  1.79194|  0.91611|  9.70522645363e-05|
  0.51875|  1.79744|  1.79753|  0.87437|  9.70781235052e-05|
  0.52500|  1.80277|  1.80287|  0.83286|  9.71040502102e-05|
  0.53125|  1.80785|  1.80794|  0.79166|  9.71300417005e-05|
  0.53750|  1.81267|  1.81276|  0.75086|  9.71560950300e-05|
  0.54375|  1.81723|  1.81733|  0.71052|  9.71822072677e-05|
  0.55000|  1.82155|  1.82165|  0.67073|  9.72083755029e-05|
  0.55625|  1.82562|  1.82572|  0.63155|  9.72345968546e-05|
  0.56250|  1.82945|  1.82954|  0.59307|  9.72608684777e-05|
  0.56875|  1.83303|  1.83313|  0.55536|  9.72871875704e-05|
  0.57500|  1.83639|  1.83649|  0.51849|  9.73135513804e-05|
  0.58125|  1.83952|  1.83961|  0.48252|  9.73399572153e-05|
  0.58750|  1.84242|  1.84252|  0.44753|  9.73664024442e-05|
  0.59375|  1.84511|  1.84521|  0.41359|  9.73928845067e-05|
  0.60000|  1.84760|  1.84769|  0.38076|  9.74194009207e-05|
  0.60625|  1.84988|  1.84997|  0.34911|  9.74459492873e-05|
  0.61250|  1.85196|  1.85206|  0.31869|  9.74725272953e-05|
  0.61875|  1.85386|  1.85396|  0.28958|  9.74991327294e-05|
  0.62500|  1.85558|  1.85568|  0.26181|  9.75257634745e-05|
  0.63125|  1.85714|  1.85724|  0.23546|  9.75524175222e-05|
  0.63750|  1.85853|  1.85863|  0.21057|  9.75790929747e-05|
  0.64375|  1.85977|  1.85987|  0.18720|  9.76057880522e-05|
  0.65000|  1.86087|  1.86097|  0.16538|  9.76325010962e-05|
  0.65625|  1.86184|  1.86194|  0.14518|  9.76592305741e-05|
  0.66250|  1.86269|  1.86279|  0.12661|  9.76859750852e-05|
  0.66875|  1.86343|  1.86353|  0.10974|  9.77127333643e-05|
  0.67500|  1.86407|  1.86417|  0.09459|  9.77395042858e-05|
  0.68125|  1.86462|  1.86471|  0.08119|  9.77662868666e-05|
  0.68750|  1.86509|  1.86518|  0.06958|  9.77930802728e-05|
  0.69375|  1.86549|  1.86559|  0.05977|  9.78198838202e-05|
  0.70000|  1.86584|  1.86593|  0.05180|  9.78466969790e-05|
  0.70625|  1.86614|  1.86624|  0.04567|  9.78735193760e-05|
  0.71250|  1.86641|  1.86651|  0.04140|  9.79003507973e-05|
  0.71875|  1.86666|  1.86676|  0.03900|  9.79271911909e-05|
  0.72500|  1.86690|  1.86700|  0.03848|  9.79540406689e-05|
  0.73125|  1.86715|  1.86724|  0.03984|  9.79808995085e-05|
  0.73750|  1.86741|  1.86750|  0.04307|  9.80077681521e-05|
  0.74375|  1.86769|  1.86779|  0.04817|  9.80346472110e-05|
  0.75000|  1.86801|  1.86811|  0.05512|  9.80615374644e-05|
  0.75625|  1.86838|  1.86848|  0.06391|  9.80884398598e-05|
  0.76250|  1.86881|  1.86891|  0.07452|  9.81153555106e-05|
  0.76875|  1.86932|  1.86942|  0.08691|  9.81422856978e-05|
  0.77500|  1.86990|  1.87000|  0.10105|  9.81692318680e-05|
  0.78125|  1.87058|  1.87068|  0.11692|  9.81961956308e-05|
  0.78750|  1.87137|  1.87147|  0.13445|  9.82231787570e-05|
  0.79375|  1.87227|  1.87237|  0.15362|  9.82501831757e-05|
  0.80000|  1.87329|  1.87339|  0.17435|  9.82772109719e-05|
  0.80625|  1.87445|  1.87455|  0.19660|  9.83042643801e-05|
  0.81250|  1.87575|  1.87585|  0.22029|  9.83313457827e-05|
  0.81875|  1.87721|  1.87731|  0.24536|  9.83584577019e-05|
  0.82500|  1.87882|  1.87892|  0.27172|  9.83856027972e-05|
  0.83125|  1.88061|  1.88070|  0.29929|  9.84127838561e-05|
  0.83750|  1.88257|  1.88266|  0.32798|  9.84400037909e-05|
  0.84375|  1.88471|  1.88481|  0.35769|  9.84672656241e-05|
  0.85000|  1.88704|  1.88714|  0.38832|  9.84945724880e-05|
  0.85625|  1.88956|  1.88966|  0.41976|  9.85219276119e-05|
  0.86250|  1.89229|  1.89239|  0.45189|  9.85493343126e-05|
  0.86875|  1.89521|  1.89531|  0.48459|  9.85767959836e-05|
  0.87500|  1.89835|  1.89844|  0.51772|  9.86043160862e-05|
  0.88125|  1.90169|  1.90178|  0.55114|  9.86318981362e-05|
  0.88750|  1.90524|  1.90533|  0.58471|  9.86595456911e-05|
  0.89375|  1.90899|  1.90909|  0.61828|  9.86872623385e-05|
  0.90000|  1.91296|  1.91306|  0.65168|  9.87150516825e-05|
  0.90625|  1.91714|  1.91724|  0.68474|  9.87429173271e-05|
  0.91250|  1.92152|  1.92162|  0.71729|  9.87708628624e-05|
  0.91875|  1.92610|  1.92620|  0.74914|  9.87988918488e-05|
  0.92500|  1.93088|  1.93098|  0.78010|  9.88270078002e-05|
  0.93125|  1.93585|  1.93595|  0.80996|  9.88552141681e-05|
  0.93750|  1.94101|  1.94110|  0.83852|  9.88835143223e-05|
  0.94375|  1.94633|  1.94643|  0.86556|  9.89119115320e-05|
